Pcp_File_Version=4
    2
    1  0.000000e+000  1.000000e+000  1.000000e+000
    2 -2.000000e+001  1.000000e+000  1.000000e+000
 1001    0    0    1 x         h      Mat  Lay      Beta           Axz            Bxz            Dxz          Temp          Conc 
    1 -0.000000e+000 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    2 -2.000000e-002 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    3 -4.000000e-002 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    4 -6.000000e-002 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    5 -8.000000e-002 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    6 -1.000000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    7 -1.200000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    8 -1.400000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    9 -1.600000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   10 -1.800000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   11 -2.000000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   12 -2.200000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   13 -2.400000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   14 -2.600000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   15 -2.800000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   16 -3.000000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   17 -3.200000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   18 -3.400000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   19 -3.600000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   20 -3.800000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   21 -4.000000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   22 -4.200000e-001 -1.000000e+003    2    2  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
